#,Site Names,Links,Comment
1,Springer Journal, https://link.springer.com/, Can browse by discipline.. relevance and dates.
2,Paperity, https://paperity.org/, Has journals from 1820-2022. I personally feel it is a good website.
3,Core, https://core.ac.uk/, Gives complete citation and has research papers from 2002-2022.
4,Semantic Journal, https://www.semanticscholar.org/, Exclusive AI stuff and contains research papers from 1942-2022.
5, arXiv Cornell Uni, https://arxiv.org/search/cs, Papers are available domain wise.. can be sorted by recency and subject wise.
6, Ted, https://www.ted.com/search?q=biases%20in%20ai, Contains only 7 blogs + Ted talks based on our research paper topic.
7, BASE(Bielefield Academic Search), https://www.base-search.net/ , Can search by year of publication.. content provider and subject.
8, IEEE Xplore, https://ieeexplore.ieee.org/Xplore/guesthome.jsp , Exclusive content on Comp Sci.
9, ERIC(Educational Resources Information Centre), https://eric.ed.gov/, Can be sorted by year.
10, EThOS(e-theses online british library), https://ethos.bl.uk/SearchResults.do, Can be sorted by year.
11, SSRN(Social Science Research Network), https://www.ssrn.com/index.cfm/en/, Can be sorted by year.
12, RefSeek, https://www.refseek.com/, Shows dates and can be downloaded from relevant websites.
13, Science.gov, https://www.science.gov/scigov/desktop/en/results.html, Sorted by dates.
14, ScienceDirect, https://www.sciencedirect.com/search, Sorted by dates.
15,WorldWideScience.org,https://worldwidescience.org/wws/desktop/en/results.html,Cannot be sorted by dates but i think it has some good content.
16, Citationsy, https://citationsy.com/archives/?, Gives citations but cannot be sorted by dates.
17, ACM(Association for computing machinery), https://www.acm.org/, Good content.
18, NeurIPS Proceedings, https://proceedings.neurips.cc//, Contains 10-20 papers.
19, Computational Linguistics, https://direct.mit.edu/coli, Can be sorted by dates.
20, Papers with code, https://paperswithcode.com/ , Sorted by recency.
21, Connected Papers, https://www.connectedpapers.com/, It shows origin and connected papers.
22, Crossminds, https://crossminds.ai/ , Video content for AI research.. engineering and industry(Don't know if this would be useful.. content looks great).
23, CatalyzeX, https://www.catalyzex.com/, Has the most recent research papers.
24, Frontiers, https://www.frontiersin.org/, Has more than 40 papers but not sorted by dates.
25, Academia.edu,https://www.academia.edu/Documents/in/Machine_Learning, Can be sorted by dates.
26,TOPBOTS,https://www.topbots.com/,Good content sorted by year.
